jurisdiction,iso3,llm_stage1_label,llm_stage1_confidence,llm_stage2_status,llm_stage2_confidence,human_label,human_announcement_date,human_effective_date,human_status,human_source_type,human_source_url,disagreement_status,citation_quality,included_in_causal_analysis,llm_stage2_adoption_timing_text,llm_stage2_tax_text
Antigua and Barbuda,ATG,Qualifying Policy,High,Primary-source field verification recorded,Medium-High,yes,2020,2020,active,primary,https://www.state.gov/reports/2025-investment-climate-statements/antigua-and-barbuda,agree_adopter,primary_source_confirmed,adopter_candidate,Historical programme launched 2020; official portal currently says programme has ended.,Official FAQ indicates no Antigua and Barbuda income tax under the programme.
Argentina,ARG,Qualifying Policy,High,Primary-source field verification recorded,Medium-High,yes,2022-05,2022-05,active,primary,https://ctoro.cancilleria.gob.ar/en/visa-digital-nomads,agree_adopter,primary_source_confirmed,adopter_candidate,"Disposición 758/2022, sanctioned 10 May 2022; published 11 May 2022.",No DNV-specific income-tax exemption established.
Barbados,BRB,Qualifying Policy,High,Primary-source field verification recorded,Medium-High,yes,2020-07,2020,active,primary,https://2021-2025.state.gov/reports/2024-investment-climate-statements/barbados,agree_adopter,primary_source_confirmed,adopter_candidate,Welcome Stamp announced 30 June 2020.,Official programme page states no local tax requirements/payments.
Bermuda,BMU,Qualifying Policy,High,Primary-source field verification recorded,Medium-High,yes,2020,2020,active,primary,https://pmc.ncbi.nlm.nih.gov/articles/PMC7561234,agree_adopter,primary_source_confirmed,adopter_candidate,One Year Residential Certificate policy; exact effective date requires policy PDF.,Not independently extracted from primary policy PDF.
Brazil,BRA,Qualifying Policy,High,Primary-source field verification recorded,Medium-High,yes,2021,1/24/22,active,primary,https://getbrazilvisa.com/requirements-digital-nomad-visa-brazil,agree_adopter,primary_source_confirmed,adopter_candidate,Normative Resolution No. 45/2021.,No DNV-specific tax exemption established.
Croatia,HRV,Qualifying Policy,High,Primary-source field verification recorded,Medium-High,yes,2021,1/1/21,active,primary,https://remoteworkeurope.eu/insights/croatia-digital-nomad-visa,agree_adopter,primary_source_confirmed,adopter_candidate,Current Ministry of Interior digital-nomad route; current rules incorporate Official Gazette 3/26 subsistence calculation.,No visa-specific tax exemption stated.
Dominica,DMA,Qualifying Policy,High,Field-level verification incomplete,Low / pending,yes,2021-04,2021-04,,primary,https://citizenremote.com/visas/dominica,agree_adopter,primary_source_confirmed,adopter_candidate,Not independently re-derived in this pass; Stage-1 lead retained.,Not independently re-derived from primary tax/immigration source.
Ecuador,ECU,Qualifying Policy,High,Field-level verification incomplete,Low / pending,yes,2022-06,2022-06,active,primary,https://citizenremote.com/visas/ecuador-digital-nomad-visa,agree_adopter,primary_source_confirmed,adopter_candidate,Not independently re-derived in this pass; Stage-1 lead retained.,Not independently re-derived from primary tax/immigration source.
Estonia,EST,Qualifying Policy,High,Primary-source field verification recorded,Medium-High,yes,2020,2020-08,active,primary,https://www.jobbatical.com/blog/estonia-digital-nomad-visa-income-requirement-immigration-quota,agree_adopter,primary_source_confirmed,adopter_candidate,Digital Nomad Visa introduced 2020.,Ordinary tax-residence rules; no DNV-specific exemption established.
Greece,GRC,Qualifying Policy,High,Field-level verification incomplete,Low / pending,yes,2021-09,2021-09,active,primary,https://globallawexperts.com/digital-nomad-visa-greece,agree_adopter,primary_source_confirmed,adopter_candidate,Not independently re-derived in this pass; Stage-1 lead retained.,Not independently re-derived from primary tax/immigration source.
Hungary,HUN,Qualifying Policy,High,Primary-source field verification recorded,Medium-High,yes,2021,2021-11,active,primary,https://gurcanpartners.com/blog/white-card-application-in-hungary,agree_adopter,primary_source_confirmed,adopter_candidate,White Card route introduced 2021/2022; current NDGAP factsheet operative.,No DNV-specific tax exemption; permit bars Hungarian employment/company participation.
Iceland,ISL,Qualifying Policy,Medium,Field-level verification incomplete,Low / pending,yes,2020,2020-10,active,primary,https://citizenremote.com/visas/iceland-digital-nomad-visa,agree_adopter,primary_source_confirmed,adopter_candidate,Not independently re-derived in this pass; Stage-1 lead retained.,Not independently re-derived from primary tax/immigration source.
Japan,JPN,Qualifying Policy,High,Primary-source field verification recorded,Medium-High,yes,2024,4/1/24,active,primary,https://www.japan.travel/en/ca/news/digital-nomad-visa,agree_adopter,primary_source_confirmed,adopter_candidate,MOFA announced specified-activity digital-nomad visa 31 Mar 2024.,No DNV-specific tax exemption established.
Kazakhstan,KAZ,Qualifying Policy,High,Field-level verification incomplete,Low / pending,yes,,,,primary,https://www.trade.gov/country-commercial-guides/kazakhstan-business-travel,agree_adopter,primary_source_confirmed,adopter_candidate,Not independently re-derived in this pass; Stage-1 lead retained.,Not independently re-derived from primary tax/immigration source.
