artifact_type,artifact,paper_output_or_role,generating_script,input_data,notes
figure,Figs/digital_nomad_map.svg,digital-nomad policy map,,Data/Intermediate/Audit_Stage1_Stage2.csv;Data/Processed/DigitalNomadDataset.xlsx,Static SVG; no generator script is included.
figure,Figs/event_study.svg,event-study figure,Figs/event_study.py,Scripts/Results/cs_event_time_associations.csv,Generated from the main analysis output.
figure,Figs/twfe_vs_cs.svg,TWFE vs CS comparison,Figs/twfe_vs_cs.py,Scripts/Results/twfe_benchmark.csv;Scripts/Results/cs_event_time_associations.csv,Generated from main analysis outputs.
figure,Figs/thailand_vietnam.svg,Thailand vs Vietnam descriptive figure,Figs/thailand_vietnam.py,Data/Processed/DigitalNomadDataset.xlsx,Generated from the processed panel.
figure,Figs/missingness.svg,missingness figure,Figs/missingness.py,Data/Processed/DigitalNomadDataset.xlsx,Generated from the processed panel.
figure,Figs/teaser.drawio.svg,repository/paper teaser,,,Static Draw.io SVG; no generator script is included.
result,Scripts/Results/sample_flow.csv,sample-flow table,Scripts/Results/staggered_adoption_sensitivity.py,Data/Intermediate/Audit_Stage1_Stage2.csv;Data/Processed/DigitalNomadDataset.xlsx,Regenerated by run_all.sh.
result,Scripts/Results/cs_group_time_associations.csv,group-time estimates,Scripts/Results/staggered_adoption_sensitivity.py,Data/Intermediate/Audit_Stage1_Stage2.csv;Data/Processed/DigitalNomadDataset.xlsx,Regenerated by run_all.sh.
result,Scripts/Results/cs_event_time_associations.csv,event-time estimates,Scripts/Results/staggered_adoption_sensitivity.py,Data/Intermediate/Audit_Stage1_Stage2.csv;Data/Processed/DigitalNomadDataset.xlsx,Regenerated by run_all.sh.
result,Scripts/Results/twfe_benchmark.csv,TWFE benchmark,Scripts/Results/staggered_adoption_sensitivity.py,Data/Intermediate/Audit_Stage1_Stage2.csv;Data/Processed/DigitalNomadDataset.xlsx,Regenerated by run_all.sh.
result,Scripts/Results/treatment_date_sensitivity_country_level.csv,treatment-date sensitivity,Scripts/Results/staggered_adoption_sensitivity.py,Data/Intermediate/Audit_Stage1_Stage2.csv;Data/Processed/DigitalNomadDataset.xlsx,Regenerated by run_all.sh.
result,Scripts/Results/semi_synthetic_summary.csv,semi-synthetic summary,Scripts/Results/staggered_adoption_sensitivity.py,Data/Intermediate/Audit_Stage1_Stage2.csv;Data/Processed/DigitalNomadDataset.xlsx,Regenerated by run_all.sh.
result,Scripts/Results/semi_synthetic_metadata.csv,semi-synthetic metadata,Scripts/Results/staggered_adoption_sensitivity.py,Data/Intermediate/Audit_Stage1_Stage2.csv;Data/Processed/DigitalNomadDataset.xlsx,Regenerated by run_all.sh.
result,Scripts/Results/analysis_panel_main.csv,analysis-ready panel,Scripts/Results/staggered_adoption_sensitivity.py,Data/Intermediate/Audit_Stage1_Stage2.csv;Data/Processed/DigitalNomadDataset.xlsx,Regenerated by run_all.sh.
result,Scripts/Results/audit_with_treatment_dates.csv,audit with treatment dates,Scripts/Results/staggered_adoption_sensitivity.py,Data/Intermediate/Audit_Stage1_Stage2.csv,Regenerated by run_all.sh.
result,Scripts/Results/arrival_expenditure_validation.csv,tourism cross-validation,Scripts/CrossValidation.py,Data/Processed/DigitalNomadDataset.xlsx,Regenerated by run_all.sh.
